id,quantity,kind,panel,layer,x_mm,y_mm,rotation_deg,source_translation_x_mm,source_translation_y_mm,area_mm2
JL1,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,10,398.8894447168947,-0.0,10.0,398.8894447168947,4267.450000000001
JL2,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,10,421.8894447168947,-0.0,10.0,421.8894447168947,4267.450000000001
JL3,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,293.85,398.8894447168947,-0.0,293.85,398.8894447168947,4267.450000000001
JR1,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,293.85,421.8894447168947,-0.0,293.85,421.8894447168947,4267.45
GLEG_L,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,336.84285173304136,222.05962,-35.42577211490816,460.5178429722158,228.5785571825567,3103.9999999999964
GLEG_R,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,336.84285173304136,241.0974943651134,35.425772114908185,460.5178429722158,247.61643154767006,3103.999999999997
GLEG_N,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,326.0,260.13536873022673,0.0,416.0,268.13536873022673,2880.0
WLRI,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,326.0,282.13536873022673,-89.89340631304279,426.4187012001552,288.474069628143,1626.2151410909003
WRRI,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,326.0,303.98674330745956,-89.89340631304279,426.4187012001552,310.32544420537585,1626.2151471089494
FK_DL,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,426.94429,190.05962,-90.0,426.94429,210.05962,2400.0
FK_DR,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,326.0,325.8381178846924,-90.0,326.0,345.8381178846924,2400.0
LCL_DA,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,472.0,178.05962,-0.0,472.0,178.05962,600.0
LCL_DF,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,326.0,351.8381178846924,-0.0,326.0,351.8381178846924,600.0
LCR_DA,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,452.0,325.8381178846924,-0.0,452.0,325.8381178846924,600.0
LCR_DF,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,452.0,336.8381178846924,-0.0,452.0,336.8381178846924,600.0
WBL_DA,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,452.0,347.8381178846924,-0.0,452.0,347.8381178846924,828.1617517499978
WBL_DF,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,485.34626,137.50961999999998,-0.0,485.34626,137.50961999999998,828.1617517499997
WBR_DA,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,485.34626,152.33461999999997,-0.0,485.34626,152.33461999999997,828.1617517499997
WLRM_2,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,512.0,260.13536873022673,-0.0,512.0,260.13536873022673,606.8825039621009
WRRM_2,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,512.0,278.64592873022673,-0.0,512.0,278.64592873022673,606.8825035505492
FX1,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,511.4213533637378,297.1564887302267,0.0,511.4213533637378,297.1564887302267,468.0
FX2,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,511.4213533637378,309.1564887302267,0.0,511.4213533637378,309.1564887302267,468.0
WLRO_2,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,529.0,103.0,-0.0,529.0,103.0,231.46909911690068
FBC,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,529.0,122.54805,0.0,529.0,122.54805,359.99999999999915
WLRM_1,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,552.94429,189.05962,-0.0,552.94429,189.05962,413.22126635205024
FX0L,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,552.94429,207.78109,0.0,552.94429,207.78109,93.0
FX0R,1,aircraft,REAPER_REV4_PLY_PANEL_01.dxf,CUT_AIRCRAFT,574.44429,207.78109,0.0,574.44429,207.78109,93.0
JR2,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,10,10,-0.0,10.0,10.0,4267.45
JR3,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,293.85,10,-0.0,293.85,10.0,4267.45
WBL_I,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,10,33.0,-0.0,10.0,33.0,2693.7148691249995
WBR_I,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,291.21991,33.0,-0.0,291.21991,33.0,2693.7148691249995
WBR_DF,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,10,50.3,-0.0,10.0,50.3,828.1617517500002
JLOW,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,10,65.125,0.0,60.0,80.275,3029.9999999999995
JTOP,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,10,101.425,0.0,60.0,116.575,3029.9999999999995
JB,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,10,137.725,-90.0,60.0,146.24875,1684.0
JF,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,10,160.725,-90.0,60.0,169.225,1700.0
FF0U,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,10,183.725,-0.0,10.0,183.725,1177.5822235941496
FF1,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,10,235.91479999999999,-0.0,10.0,235.91479999999999,1243.5241937054
FF2U,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,10,288.1046,-0.0,10.0,288.1046,1233.6481867896587
FF3,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,10,340.14818,-0.0,10.0,340.14793000000003,926.6379604000995
FEQ,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,107.35154,340.14818,-0.0,107.35154,340.14818,6120.0
FES0,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,10,381.77609,-0.0,10.0,381.77609,540.0
FES1,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,10,393.77609,-0.0,10.0,393.77609,540.0
FLL_DB,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,10,405.77609,-90.0,10.0,411.77609,540.0
FLL_DT,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,10,417.77609,-90.0,10.0,423.77609,540.0
FLR_DB,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,10,429.77609,-90.0,10.0,435.77609,540.0
FLR_DT,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,106.0,436.14818,-90.0,106.0,442.14818,540.0
FTM0,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,10,441.77609,-0.0,10.0,441.77609,450.0
FTM1,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,111.64296,288.1046,-0.0,111.64296,288.1046,450.00000000000006
FX3,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,111.64296,299.1046,-90.0,150.64296000000002,302.1046,468.0000000000001
FEC0,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,111.64296,311.1046,-0.0,111.64296,311.1046,390.00000000000006
FEC1,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,111.64296,322.1046,-0.0,111.64296,322.1046,390.00000000000006
TROOT,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,181.35154,333.1046,-90.0,219.35154,353.95565,922.0
FMT,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,181.35154,369.1046,-90.0,181.35154,417.1046,2180.42858
FGPS,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,257.35154,369.1046,-0.0,257.35154,369.1046,2720.0
WRRO_2,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,202.0,423.1046,-0.0,202.0,423.1046,231.47012970335004
FGPL,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,111.64445,183.725,-0.0,111.64445,183.725,2080.0
FGPR,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,111.64445,229.725,-0.0,111.64445,229.725,2080.0000000000014
FMF,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,116.0,65.125,0.0,116.0,65.125,1863.911717494206
WRRO_1,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,195.64296000000002,299.1046,-0.0,195.64296000000002,299.1046,277.99893861715003
WLRO_1,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,269.45573,415.1046,-0.0,269.45573,415.1046,277.9961861233003
FF0L,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,116.0,118.38256,-0.0,116.0,118.38256,499.5961234161499
FF0R,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,167.32222000000002,118.38256,-0.0,167.32222000000002,118.38256,499.59713947335007
FF2L,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,170.0,50.3,-0.0,170.0,50.3,586.3965955439002
FF2R,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,169.64445,161.08944,-0.0,169.64445,161.08944,586.3969891774501
WRRM_1,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,116.07997,161.08944,-0.0,116.07997,161.08944,413.2213159084003
MTL,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,218.64444000000003,93.00688,-0.0,218.64444000000003,93.00688,1194.0
MTR,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,169.64445,203.79631999999998,-0.0,169.64445,203.79631999999998,1194.0
FMGR,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,218.64444000000003,136.00688,-90.0,218.64444000000003,153.12025,329.13680727110017
FMGL,1,aircraft,REAPER_REV4_PLY_PANEL_02.dxf,CUT_AIRCRAFT,170.0,93.00688,-90.0,170.0,110.12022999999999,329.13679315164967
