done,process,id,assembly,material,quantity,file,sheet
,Wood cutting,LCL_O,LCL_O,Plywood,1,Reference_Profiles/LCL_O.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,LCL_DF,LCL_DF,Plywood,1,Reference_Profiles/LCL_DF.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,LCL_DA,LCL_DA,Plywood,1,Reference_Profiles/LCL_DA.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,WBL_I,WBL_I,Plywood,1,Reference_Profiles/WBL_I.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Wood cutting,WBL_O,WBL_O,Plywood,1,Reference_Profiles/WBL_O.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,WBL_DF,WBL_DF,Plywood,1,Reference_Profiles/WBL_DF.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,WBL_DA,WBL_DA,Plywood,1,Reference_Profiles/WBL_DA.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,JR1,JR1,Plywood,1,Reference_Profiles/JR1.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,JR2,JR2,Plywood,1,Reference_Profiles/JR2.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Wood cutting,JR3,JR3,Plywood,1,Reference_Profiles/JR3.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Wood cutting,JL1,JL1,Plywood,1,Reference_Profiles/JL1.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,JL2,JL2,Plywood,1,Reference_Profiles/JL2.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,JL3,JL3,Plywood,1,Reference_Profiles/JL3.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,WRRM_1,WRRM_1,Plywood,1,Reference_Profiles/WRRM_1.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Wood cutting,WRRM_2,WRRM_2,Plywood,1,Reference_Profiles/WRRM_2.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,WRRO_1,WRRO_1,Plywood,1,Reference_Profiles/WRRO_1.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Wood cutting,WRRO_2,WRRO_2,Plywood,1,Reference_Profiles/WRRO_2.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Wood cutting,WLRM_1,WLRM_1,Plywood,1,Reference_Profiles/WLRM_1.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,WLRM_2,WLRM_2,Plywood,1,Reference_Profiles/WLRM_2.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,Wood cutting,WLRO_1,WLRO_1,Plywood,1,Reference_Profiles/WLRO_1.dxf,REAPER_REV4_PLY_PANEL_02.dxf
,Wood cutting,WLRO_2,WLRO_2,Plywood,1,Reference_Profiles/WLRO_2.dxf,REAPER_REV4_PLY_PANEL_01.dxf
,3D print,FCF,FCF,PLA+,1,Print/FCF.stl,Print/Print_Schedule.csv
,3D print,FTF,FTF,PLA+,1,Print/FTF.stl,Print/Print_Schedule.csv
,3D print,AHR,AHR,PLA+,1,Print/AHR.stl,Print/Print_Schedule.csv
,3D print,AHL,AHL,PLA+,1,Print/AHL.stl,Print/Print_Schedule.csv
,3D print,HAR,HAR,PLA+,1,Print/HAR.stl,Print/Print_Schedule.csv
,3D print,HAL,HAL,PLA+,1,Print/HAL.stl,Print/Print_Schedule.csv
,3D print,HTR,HTR,PLA+,1,Print/HTR.stl,Print/Print_Schedule.csv
,3D print,HTL,HTL,PLA+,1,Print/HTL.stl,Print/Print_Schedule.csv
,3D print,HABR,HABR,PLA+,1,Print/HABR.stl,Print/Print_Schedule.csv
,3D print,HABL,HABL,PLA+,1,Print/HABL.stl,Print/Print_Schedule.csv
,3D print,HTBR,HTBR,PLA+,1,Print/HTBR.stl,Print/Print_Schedule.csv
,3D print,HTBL,HTBL,PLA+,1,Print/HTBL.stl,Print/Print_Schedule.csv
,3D print,MAR,MAR,PLA+,1,Print/MAR.stl,Print/Print_Schedule.csv
,3D print,MAL,MAL,PLA+,1,Print/MAL.stl,Print/Print_Schedule.csv
